iter	Passed	Remaining
438	1335	1706
439	1338	1703
440	1341	1700
441	1344	1696
442	1346	1693
443	1349	1689
444	1351	1686
445	1354	1682
446	1357	1679
447	1360	1675
448	1362	1672
449	1365	1668
450	1368	1665
451	1370	1662
452	1373	1658
453	1376	1655
454	1378	1651
455	1381	1647
456	1384	1644
457	1386	1641
458	1389	1637
459	1392	1634
460	1394	1630
461	1397	1627
462	1400	1623
463	1402	1620
464	1405	1616
465	1408	1613
466	1410	1610
467	1413	1606
468	1415	1603
469	1418	1599
470	1421	1596
471	1424	1593
472	1426	1589
473	1429	1585
474	1432	1583
475	1435	1580
476	1439	1578
477	1442	1575
478	1447	1574
479	1452	1573
480	1456	1571
481	1460	1569
482	1464	1567
483	1469	1566
484	1472	1564
485	1477	1562
486	1481	1560
487	1488	1561
488	1494	1561
489	1499	1560
490	1502	1557
491	1506	1555
492	1509	1552
493	1512	1549
494	1515	1545
495	1518	1542
496	1520	1539
497	1524	1536
498	1526	1532
499	1529	1529
500	1533	1527
501	1536	1524
502	1539	1520
503	1541	1517
504	1544	1514
505	1547	1511
506	1550	1507
507	1553	1504
508	1555	1500
509	1558	1497
510	1561	1494
511	1564	1491
512	1567	1487
513	1570	1484
514	1572	1481
515	1575	1477
516	1579	1475
517	1581	1471
518	1584	1468
519	1587	1465
520	1591	1462
521	1594	1459
522	1596	1456
523	1599	1453
524	1602	1449
525	1604	1446
526	1607	1442
527	1610	1439
528	1613	1436
529	1616	1433
530	1618	1429
531	1621	1426
532	1624	1422
533	1626	1419
534	1629	1416
535	1631	1412
536	1634	1409
537	1637	1405
538	1639	1402
539	1642	1398
540	1644	1395
541	1647	1392
542	1650	1388
543	1652	1385
544	1655	1382
545	1658	1378
546	1660	1375
547	1663	1372
548	1666	1368
549	1668	1365
550	1671	1361
551	1673	1358
552	1676	1355
553	1679	1351
554	1681	1348
555	1684	1345
556	1687	1341
557	1689	1338
558	1692	1334
559	1694	1331
560	1697	1328
561	1700	1324
562	1702	1321
563	1705	1318
564	1708	1315
565	1711	1312
566	1714	1308
567	1716	1305
568	1719	1302
569	1721	1298
570	1724	1295
571	1727	1292
572	1729	1288
573	1732	1285
574	1734	1282
575	1737	1278
576	1739	1275
577	1742	1272
578	1745	1268
579	1747	1265
580	1750	1262
581	1753	1259
582	1755	1255
583	1758	1252
584	1761	1249
585	1764	1246
586	1766	1243
587	1769	1239
588	1772	1236
589	1774	1233
590	1777	1229
591	1779	1226
592	1782	1223
593	1784	1219
594	1787	1217
595	1790	1214
596	1793	1210
597	1796	1207
598	1798	1204
599	1801	1200
600	1803	1197
601	1806	1194
602	1809	1191
603	1811	1187
604	1814	1184
605	1817	1181
606	1819	1178
607	1822	1175
608	1825	1171
609	1827	1168
610	1830	1165
611	1833	1162
612	1836	1159
613	1839	1156
614	1841	1152
615	1844	1149
616	1847	1146
617	1849	1143
618	1852	1140
619	1854	1136
620	1857	1133
621	1860	1130
622	1862	1127
623	1865	1124
624	1868	1120
625	1870	1117
626	1873	1114
627	1875	1111
628	1879	1108
629	1882	1105
630	1884	1102
631	1887	1098
632	1889	1095
633	1892	1092
634	1895	1089
635	1897	1086
636	1900	1082
637	1902	1079
638	1905	1076
639	1908	1073
640	1910	1070
641	1913	1067
642	1916	1063
643	1919	1060
644	1922	1057
645	1925	1054
646	1927	1051
647	1930	1048
648	1933	1045
649	1935	1042
650	1939	1039
651	1942	1036
652	1944	1033
653	1947	1030
