iter	RMSE
142	18905.29995
143	18864.19676
144	18830.99789
145	18774.36649
146	18727.95067
147	18672.07598
148	18632.68118
149	18573.95602
150	18535.17067
151	18488.68161
152	18421.56392
153	18383.09335
154	18332.42703
155	18279.70481
156	18224.34405
157	18183.23539
158	18146.15047
159	18114.84876
160	18072.55554
161	18023.15523
162	17969.51941
163	17942.01121
164	17888.49012
165	17840.58042
166	17801.46768
167	17752.02409
168	17718.44367
169	17671.23742
170	17624.94094
171	17578.32125
172	17535.79817
173	17483.49899
174	17416.78773
175	17373.92927
176	17316.31108
177	17274.79297
178	17239.11367
179	17197.90947
180	17161.04609
181	17108.78958
182	17069.83442
183	17034.88454
184	16997.51997
185	16954.18774
186	16927.3797
187	16898.8526
188	16851.41476
189	16807.54731
190	16774.56425
191	16740.21193
192	16704.5559
193	16659.57456
194	16628.48173
195	16596.68364
196	16562.28858
197	16528.88728
198	16491.15152
199	16444.72886
200	16408.74313
201	16355.69499
202	16310.93958
203	16281.37801
204	16242.96913
205	16194.44272
206	16172.04183
207	16141.55723
208	16125.3444
209	16097.29994
210	16056.23425
211	16020.58697
212	15982.07028
213	15942.62538
214	15910.56792
215	15901.03407
216	15871.43747
217	15827.11821
218	15792.20664
219	15756.93822
220	15732.48439
221	15708.58805
222	15673.26433
223	15650.61365
224	15636.09653
225	15614.34044
226	15586.54149
227	15560.84299
228	15546.41703
229	15503.69872
230	15487.95906
231	15454.52938
232	15446.36615
233	15411.56496
234	15378.00197
235	15352.07561
236	15327.07701
237	15303.52521
238	15261.10432
239	15224.67851
240	15187.37678
241	15177.60279
242	15167.10951
243	15155.04589
244	15145.05979
245	15137.20515
246	15130.80766
247	15124.72369
248	15111.11496
249	15105.62485
250	15093.28663
251	15087.12763
252	15072.19098
253	15037.98081
254	15022.2337
255	14994.68193
256	14985.47839
257	14975.41905
258	14945.67981
259	14912.65484
260	14878.20344
261	14834.7846
262	14810.70334
263	14796.47441
264	14748.7177
265	14735.51691
266	14726.16129
267	14692.11456
268	14678.43142
269	14637.06242
270	14604.97194
271	14596.58801
272	14558.24216
273	14550.74312
274	14544.7031
275	14508.8125
276	14479.37715
277	14445.36509
278	14406.39824
279	14399.96043
280	14394.69526
281	14367.72455
282	14339.26192
283	14298.19202
284	14270.09977
285	14264.46524
286	14225.92698
287	14201.40863
288	14195.22105
289	14167.14949
290	14121.13534
291	14092.88645
292	14062.93772
293	14057.01412
294	14030.76645
295	13996.76521
296	13963.64883
297	13958.04706
298	13928.22466
299	13895.51597
300	13867.6165
301	13842.02289
302	13824.94569
303	13773.03987
304	13745.90605
305	13719.1661
306	13693.12481
307	13679.81033
308	13642.31771
309	13596.60477
310	13573.66498
311	13545.11099
312	13512.61339
313	13485.43401
314	13452.13314
315	13440.68223
316	13406.38909
317	13366.70791
318	13341.76087
319	13329.34374
320	13303.13192
321	13283.27236
322	13263.6416
323	13239.11728
324	13218.60153
325	13190.25866
326	13165.54335
327	13133.56792
328	13126.34073
329	13095.56277
330	13068.43816
331	13045.36362
332	13034.6683
333	13004.17025
334	12998.53056
335	12961.59711
336	12940.25342
337	12904.4338
338	12882.30139
339	12862.57193
340	12858.52532
341	12851.83453
342	12825.41075
343	12796.93611
344	12794.16373
345	12771.86052
346	12761.75652
347	12743.46477
348	12715.61582
349	12694.28899
350	12663.77052
351	12644.37877
352	12624.32777
353	12602.18337
354	12599.58419
355	12563.64504
356	12544.22165
357	12525.18521
358	12502.33684
359	12484.18389
360	12481.21879
361	12477.82522
362	12458.69903
363	12431.2336
364	12428.33566
365	12388.08528
366	12375.25884
367	12350.6367
368	12348.43056
369	12325.95982
370	12305.97733
371	12296.42954
372	12276.64647
373	12246.60775
374	12235.54604
375	12221.71959
376	12194.20917
377	12183.80084
378	12162.26393
379	12153.61554
380	12122.38172
381	12105.18672
382	12089.28301
383	12083.96161
384	12068.6209
385	12031.26177
386	12015.21474
387	11997.40574
388	11971.58826
389	11952.61091
390	11922.08822
391	11894.50277
392	11876.7284
393	11852.20834
394	11835.35088
395	11808.62663
396	11795.90771
397	11774.90259
398	11749.35832
399	11728.91269
400	11709.48239
401	11682.75488
402	11680.85056
403	11669.6381
404	11659.40766
405	11638.21728
406	11618.72763
407	11612.60575
408	11586.10314
409	11579.16173
410	11566.40137
411	11546.72576
412	11541.03953
413	11522.06202
414	11516.50031
415	11484.62581
416	11470.82374
417	11468.19954
418	11446.75939
419	11430.11599
420	11423.56133
421	11415.30661
422	11412.75763
423	11410.75019
424	11378.20417
425	11360.1752
426	11355.99408
427	11333.61349
428	11311.14697
429	11293.06198
430	11277.53513
431	11254.88973
432	11236.03556
433	11220.38415
434	11191.75484
435	11177.32676
436	11151.24402
437	11126.07515
438	11097.25673
439	11069.48036
440	11044.39864
441	11017.55778
442	11015.02487
443	11009.88573
444	10987.52062
445	10962.96579
446	10943.82301
447	10931.33638
448	10912.88135
449	10895.40302
450	10881.64588
451	10849.6985
452	10824.29999
453	10808.57859
454	10806.11665
455	10796.13695
456	10774.07455
457	10755.8591
458	10732.83099
459	10704.11141
460	10690.93198
461	10669.41128
462	10657.19113
463	10639.39631
464	10617.04907
465	10592.825
466	10560.86206
467	10549.19644
468	10524.90306
469	10508.38248
470	10487.13901
471	10462.66765
472	10449.01309
473	10446.73454
474	10427.43788
475	10403.61946
476	10386.59746
477	10365.12044
478	10347.29772
479	10326.81548
480	10313.40735
481	10299.01428
482	10275.1771
483	10255.43935
484	10237.87017
485	10218.29856
486	10209.99394
487	10191.9411
488	10171.75797
489	10169.52517
490	10157.06537
491	10139.45664
492	10119.65548
493	10093.166
494	10091.02406
495	10088.9871
496	10070.92876
497	10045.10526
498	10025.23991
499	9998.039948
500	9978.340024
501	9965.635995
502	9954.337767
503	9936.089221
504	9915.219346
505	9903.058833
506	9881.587392
507	9868.809702
508	9847.785462
509	9817.896485
510	9806.603668
511	9788.014522
512	9779.981928
513	9773.999163
514	9762.640682
515	9746.600624
516	9737.127132
517	9716.316628
518	9700.110195
519	9691.649884
520	9673.88085
521	9653.808029
522	9647.86327
523	9620.374846
524	9612.779047
525	9599.703559
526	9585.295142
527	9571.54043
528	9551.10792
529	9535.257654
530	9521.893207
531	9500.043669
532	9489.123122
533	9463.452171
534	9458.808008
535	9440.969218
536	9432.229161
537	9418.547507
538	9391.343301
539	9372.062653
540	9360.475501
541	9347.870872
542	9331.335128
543	9315.883601
544	9297.68036
545	9272.819449
546	9256.181585
547	9242.669531
548	9227.857033
549	9208.981446
550	9195.143629
551	9185.145564
552	9159.680871
553	9148.044704
554	9139.396272
555	9131.404826
556	9113.577107
557	9109.330966
558	9094.361269
559	9085.892602
560	9072.629499
561	9047.766605
562	9029.145242
563	9020.576939
564	8996.703
565	8980.094025
566	8958.165044
567	8943.315806
568	8934.490278
569	8920.17821
570	8918.090803
571	8916.005833
572	8905.766403
573	8891.015761
574	8887.225517
575	8863.161
576	8841.800698
577	8837.27589
578	8820.614682
579	8818.047201
580	8796.462769
581	8779.110267
582	8764.755384
583	8751.779785
584	8740.666897
585	8725.622382
586	8722.212673
587	8706.973318
588	8688.422122
589	8671.647407
590	8661.446302
591	8657.279938
592	8641.746368
593	8639.763114
594	8636.460876
595	8624.232055
596	8608.504557
597	8605.760299
598	8604.504767
599	8600.612131
600	8589.372347
601	8572.299783
602	8564.223744
603	8555.565924
604	8547.90909
605	8528.053474
606	8510.608628
607	8501.510776
608	8488.217823
609	8471.636207
610	8456.916298
611	8448.235511
612	8442.966364
613	8430.316294
614	8413.336122
615	8399.021556
616	8387.324085
617	8379.217422
618	8372.996612
619	8360.358818
620	8358.765439
621	8356.437704
622	8343.548959
623	8322.49808
624	8311.281763
625	8308.338104
626	8300.421698
627	8280.976182
628	8279.190325
629	8267.146051
630	8261.987219
631	8244.397154
632	8243.505917
633	8234.585521
634	8217.805373
635	8212.98414
636	8192.576176
637	8178.520834
638	8162.539068
639	8146.237814
640	8145.198731
641	8141.876817
642	8140.052495
643	8132.386145
644	8119.002181
645	8114.686193
646	8104.279193
647	8091.742249
648	8075.79037
649	8063.484966
650	8054.614605
651	8045.47291
652	8031.570773
653	8023.156861
654	8012.288346
655	8003.932383
656	7988.775843
657	7970.643714
658	7964.829246
659	7951.952448
660	7938.115634
661	7919.793222
662	7918.190156
663	7903.812601
664	7895.804411
665	7882.754378
666	7874.733323
667	7863.169124
668	7856.990739
669	7846.80132
670	7838.052472
671	7827.709194
672	7819.698603
673	7808.937661
674	7792.401871
675	7782.696049
676	7775.926477
677	7760.592155
678	7750.691565
679	7739.820853
680	7730.105049
681	7728.173453
682	7705.163911
683	7689.589361
684	7680.765213
685	7670.561541
686	7661.52168
687	7650.508258
688	7634.447629
689	7624.578068
690	7612.736968
691	7604.310986
692	7596.077195
693	7584.439588
694	7573.169325
695	7564.947354
696	7554.698942
697	7553.816163
698	7535.244038
699	7524.169924
700	7517.852205
701	7504.931931
702	7492.282099
703	7481.814308
704	7480.564189
705	7474.117975
706	7473.127868
707	7458.783571
708	7448.038517
709	7443.953609
710	7431.807604
711	7420.175325
712	7412.139444
713	7404.192622
714	7399.539528
715	7379.979979
716	7370.301734
717	7352.973871
718	7340.354004
719	7320.983641
720	7320.225881
721	7319.441337
722	7311.077521
723	7298.88799
724	7287.368944
725	7278.141673
726	7269.650692
727	7257.527508
728	7245.035954
729	7237.502338
730	7223.061007
731	7217.33697
732	7210.391142
733	7201.285515
734	7188.891725
735	7177.36661
736	7165.881218
737	7155.870646
738	7153.242563
739	7141.583376
740	7130.777234
741	7124.376039
742	7118.850733
743	7103.66447
744	7096.403522
745	7082.756607
746	7062.366825
747	7047.680722
748	7037.496654
749	7023.764206
750	7017.265369
751	7005.243862
752	7003.853836
753	6991.203878
754	6977.85876
755	6966.840504
756	6960.467575
757	6952.419079
758	6942.18265
759	6933.347302
760	6919.831235
761	6917.182129
762	6909.364779
763	6907.707664
764	6899.740773
765	6889.924727
766	6883.879543
767	6877.666683
768	6876.704461
769	6867.118499
770	6850.820072
771	6838.767842
772	6829.84233
773	6813.541818
774	6807.178663
775	6796.268444
776	6782.291233
777	6777.273432
778	6771.163423
779	6761.723815
780	6755.727984
781	6746.707751
782	6744.098712
783	6738.253592
784	6729.486228
785	6722.75075
786	6714.507256
787	6708.200375
788	6703.580917
789	6690.040114
790	6680.588322
791	6667.788447
792	6658.388672
793	6652.489674
794	6645.137588
795	6641.946086
796	6632.830022
797	6618.107481
798	6606.043952
799	6600.038311
800	6588.639344
801	6584.021387
802	6578.514099
803	6565.693166
804	6557.504141
805	6544.404542
806	6536.801161
807	6523.764655
808	6514.035804
809	6497.390243
810	6488.432925
811	6480.306222
812	6473.362235
813	6468.464258
814	6459.814063
815	6445.404858
816	6444.213659
817	6438.178315
818	6437.146354
819	6435.887122
820	6428.303766
821	6423.328587
822	6409.112021
823	6402.274847
824	6401.480468
825	6400.710224
826	6385.336953
827	6377.077248
828	6368.518311
829	6357.799832
830	6349.524494
831	6339.174263
832	6331.893912
833	6316.11367
834	6306.154046
835	6295.535843
836	6285.647036
837	6271.222305
838	6261.868218
839	6253.525499
840	6247.671228
841	6236.041554
842	6229.47104
843	6221.320464
844	6214.205802
845	6201.225874
846	6190.796908
847	6182.580647
848	6173.420107
849	6166.10114
850	6158.577582
851	6146.047584
852	6128.84619
853	6120.399483
854	6109.172755
855	6100.407731
856	6085.319971
857	6070.493718
858	6064.664192
859	6049.434089
860	6039.574705
861	6037.25598
862	6030.532672
863	6020.622813
864	6020.001289
865	6011.595244
866	6004.482285
867	5995.472369
868	5986.594055
869	5974.885734
870	5965.762492
871	5958.756847
872	5950.084765
873	5949.252835
874	5932.782124
875	5922.547888
876	5914.576845
877	5898.135318
878	5894.553365
879	5888.538014
880	5877.952528
881	5873.16241
882	5869.050732
883	5858.84499
884	5845.313979
885	5838.396005
886	5834.559053
887	5819.677224
888	5812.485655
889	5808.031521
890	5797.874258
891	5786.391728
892	5776.243568
893	5768.009366
894	5760.388424
895	5750.338152
896	5742.564304
897	5731.501094
898	5730.532451
899	5716.304898
900	5709.853753
901	5698.053965
902	5693.328833
903	5677.773073
904	5676.671199
905	5676.079431
906	5663.718928
907	5656.509864
908	5649.765278
909	5638.847091
910	5637.264953
911	5636.291332
912	5629.713566
913	5628.991609
914	5619.968715
915	5619.271571
916	5611.112592
917	5599.552207
918	5594.880448
919	5586.352476
920	5576.026481
921	5563.492503
922	5552.625564
923	5543.716853
924	5535.664647
925	5529.796831
926	5529.338943
927	5524.058502
928	5516.649501
929	5499.768646
930	5491.901051
931	5485.946361
932	5478.853947
933	5471.258822
934	5459.939023
935	5458.917357
936	5452.897829
937	5447.249219
938	5440.752927
939	5431.09844
940	5422.179239
941	5417.55047
942	5411.437597
943	5404.498527
944	5399.598399
945	5389.05826
946	5375.362152
947	5372.687978
948	5366.340593
949	5364.793246
950	5359.547156
951	5348.256828
952	5347.644991
953	5338.542017
954	5330.902682
955	5320.202808
956	5314.161609
957	5304.477111
958	5303.483212
959	5300.206645
960	5295.196617
961	5290.283485
962	5284.770877
963	5275.555209
964	5274.969634
965	5264.401765
966	5258.371015
967	5247.43534
968	5241.998777
969	5241.556553
970	5239.119615
971	5233.203446
972	5232.714946
973	5227.042269
974	5216.809955
975	5213.940698
976	5211.561683
977	5202.511642
978	5198.946153
979	5189.830959
980	5183.029899
981	5173.19199
982	5167.104333
983	5162.706807
984	5156.08577
985	5151.07928
986	5148.707695
987	5142.77212
988	5131.68597
989	5122.467996
990	5120.00831
991	5112.554668
992	5110.346478
993	5106.938494
994	5097.856617
995	5091.06599
996	5090.663501
997	5084.426218
998	5076.942778
999	5068.059246
